1754444183.280794 server started (94692): version next-3.6, socket /tmp/tmux-1000/default, protocol 8
1754444183.280815 on Linux 6.1.0-37-amd64 #1 SMP PREEMPT_DYNAMIC Debian 6.1.140-1 (2025-05-22)
1754444183.280830 using libevent 2.1.12-stable poll
1754444183.280835 using ncurses 6.4 20221231
1754444183.280893 input_key_build: 0x10e003 (PasteStart) is \033[200~
1754444183.280900 input_key_build: 0x10e004 (PasteEnd) is \033[201~
1754444183.280905 input_key_build: 0x10e25b (F1) is \033OP
1754444183.280910 input_key_build: 0x10e25c (F2) is \033OQ
1754444183.280915 input_key_build: 0x10e25d (F3) is \033OR
1754444183.280918 input_key_build: 0x10e25e (F4) is \033OS
1754444183.280921 input_key_build: 0x10e25f (F5) is \033[15~
1754444183.280924 input_key_build: 0x10e260 (F6) is \033[17~
1754444183.280927 input_key_build: 0x10e261 (F7) is \033[18~
1754444183.280930 input_key_build: 0x10e262 (F8) is \033[19~
1754444183.280933 input_key_build: 0x10e263 (F9) is \033[20~
1754444183.280936 input_key_build: 0x10e264 (F10) is \033[21~
1754444183.280939 input_key_build: 0x10e265 (F11) is \033[23~
1754444183.280942 input_key_build: 0x10e266 (F12) is \033[24~
1754444183.280945 input_key_build: 0x10e267 (IC) is \033[2~
1754444183.280950 input_key_build: 0x10e268 (DC) is \033[3~
1754444183.280953 input_key_build: 0x10e269 (Home) is \033[1~
1754444183.280956 input_key_build: 0x10e26a (End) is \033[4~
1754444183.280959 input_key_build: 0x10e26b (NPage) is \033[6~
1754444183.280962 input_key_build: 0x10e26c (PPage) is \033[5~
1754444183.280965 input_key_build: 0x10e26d (BTab) is \033[Z
1754444183.280968 input_key_build: 0x10e26e (Up) is \033[A
1754444183.280971 input_key_build: 0x10e26f (Down) is \033[B
1754444183.280974 input_key_build: 0x10e270 (Left) is \033[D
1754444183.280977 input_key_build: 0x10e271 (Right) is \033[C
1754444183.280980 input_key_build: 0x10e272 (KP/) is /
1754444183.280983 input_key_build: 0x10e273 (KP*) is *
1754444183.280986 input_key_build: 0x10e274 (KP-) is -
1754444183.280989 input_key_build: 0x10e275 (KP7) is 7
1754444183.280992 input_key_build: 0x10e276 (KP8) is 8
1754444183.280995 input_key_build: 0x10e277 (KP9) is 9
1754444183.280998 input_key_build: 0x10e278 (KP+) is +
1754444183.281001 input_key_build: 0x10e279 (KP4) is 4
1754444183.281004 input_key_build: 0x10e27a (KP5) is 5
1754444183.281007 input_key_build: 0x10e27b (KP6) is 6
1754444183.281010 input_key_build: 0x10e27c (KP1) is 1
1754444183.281013 input_key_build: 0x10e27d (KP2) is 2
1754444183.281016 input_key_build: 0x10e27e (KP3) is 3
1754444183.281019 input_key_build: 0x10e27f (KPEnter) is \n
1754444183.281022 input_key_build: 0x10e280 (KP0) is 0
1754444183.281027 input_key_build: 0x10e281 (KP.) is .
1754444183.281031 input_key_build: 0x10e282 (Invalid#10e282) is \033[?997;1n
1754444183.281034 input_key_build: 0x10e283 (Invalid#10e283) is \033[?997;2n
1754444183.281038 input_key_build: 0x20000010e25b (C-F1) is \033[1;5P
1754444183.281041 input_key_build: 0x20000010e25c (C-F2) is \033[1;5Q
1754444183.281044 input_key_build: 0x20000010e25d (C-F3) is \033[1;5R
1754444183.281047 input_key_build: 0x20000010e25e (C-F4) is \033[1;5S
1754444183.281050 input_key_build: 0x20000010e25f (C-F5) is \033[15;5~
